"Rank","Name","Score"
"1","UGT1A6","1128960.0"
"1","UGT1A1","1128960.0"
"1","UGT1A10","1128960.0"
"1","UGT1A9","1128960.0"
"1","UGT1A4","1128960.0"
"1","UGT1A7","1128960.0"
"1","UGT1A8","1128960.0"
"8","AKR1C3","1088640.0"
"9","AKR1C1","725761.0"
"10","AKR1C2","725760.0"
"11","CYP1A1","403200.0"
"12","HSD17B3","362880.0"
"13","CYP26A1","40322.0"
"14","GPI","202.0"
"15","PGK1","198.0"
"16","COL1A2","172.0"
"17","HK2","170.0"
"18","COL5A1","148.0"
"19","LDHA","146.0"
"20","ALDOA","144.0"
"20","ALDOC","144.0"
"22","COL6A1","112.0"
"23","COL6A2","102.0"
"24","JUN","91.0"
"24","FOS","91.0"
"26","PLOD1","78.0"
"27","LOX","76.0"
"28","EGR1","60.0"
"29","PFKFB3","56.0"
"30","COL5A3","50.0"
"31","DUSP1","49.0"
"32","ITGA5","43.0"
"33","ATF3","36.0"
"33","ITGB6","36.0"
"35","SMAD3","32.0"
"36","ENO2","30.0"
"36","PLOD2","30.0"
"38","COL16A1","28.0"
"38","MMP2","28.0"
"40","PFKFB4","26.0"
